DEPTH,PERM,PHIE,PHIT,SWE_WAXMAN,SWTF_WAXMAN,well_name
0,-999.25,-999.25,-999.25,-999.25,1,well 1
0.5,-999.25,-999.25,-999.25,-999.25,1,well 1
1,-999.25,-999.25,-999.25,-999.25,1,well 1
1.5,-999.25,-999.25,-999.25,-999.25,1,well 1
2,-999.25,-999.25,-999.25,-999.25,1,well 1
2.5,-999.25,-999.25,-999.25,-999.25,1,well 1
3,-999.25,-999.25,-999.25,-999.25,1,well 1
3.5,-999.25,-999.25,-999.25,-999.25,1,well 1
4,-999.25,-999.25,-999.25,-999.25,1,well 1
4.5,-999.25,-999.25,-999.25,-999.25,1,well 1
5,-999.25,-999.25,-999.25,-999.25,1,well 1
5.5,-999.25,-999.25,-999.25,-999.25,1,well 1
6,-999.25,-999.25,-999.25,-999.25,1,well 1
6.5,-999.25,-999.25,-999.25,-999.25,1,well 1
7,-999.25,-999.25,-999.25,-999.25,1,well 1
7.5,-999.25,-999.25,-999.25,-999.25,1,well 1
8,-999.25,-999.25,-999.25,-999.25,1,well 1
8.5,-999.25,-999.25,-999.25,-999.25,1,well 1
9,-999.25,-999.25,-999.25,-999.25,1,well 1
9.5,-999.25,-999.25,-999.25,-999.25,1,well 1
10,-999.25,-999.25,-999.25,-999.25,1,well 1
10.5,-999.25,-999.25,-999.25,-999.25,1,well 1
11,-999.25,-999.25,-999.25,-999.25,1,well 1
11.5,-999.25,-999.25,-999.25,-999.25,1,well 1
12,-999.25,-999.25,-999.25,-999.25,1,well 1
12.5,-999.25,-999.25,-999.25,-999.25,1,well 1
13,-999.25,-999.25,-999.25,-999.25,1,well 1
13.5,-999.25,-999.25,-999.25,-999.25,1,well 1
14,-999.25,-999.25,-999.25,-999.25,1,well 1
14.5,-999.25,-999.25,-999.25,-999.25,1,well 1
15,-999.25,-999.25,-999.25,-999.25,1,well 1
15.5,-999.25,-999.25,-999.25,-999.25,1,well 1
16,-999.25,-999.25,-999.25,-999.25,1,well 1
16.5,-999.25,-999.25,-999.25,-999.25,1,well 1
17,-999.25,-999.25,-999.25,-999.25,1,well 1
17.5,-999.25,-999.25,-999.25,-999.25,1,well 1
18,-999.25,-999.25,-999.25,-999.25,1,well 1
18.5,-999.25,-999.25,-999.25,-999.25,1,well 1
19,-999.25,-999.25,-999.25,-999.25,1,well 1
19.5,-999.25,-999.25,-999.25,-999.25,1,well 1
20,-999.25,-999.25,-999.25,-999.25,1,well 1
20.5,-999.25,-999.25,-999.25,-999.25,1,well 1
21,-999.25,-999.25,-999.25,-999.25,1,well 1
21.5,-999.25,-999.25,-999.25,-999.25,1,well 1
22,-999.25,-999.25,-999.25,-999.25,1,well 1
22.5,-999.25,-999.25,-999.25,-999.25,1,well 1
23,-999.25,-999.25,-999.25,-999.25,1,well 1
23.5,-999.25,-999.25,-999.25,-999.25,1,well 1
24,-999.25,-999.25,-999.25,-999.25,1,well 1
24.5,-999.25,-999.25,-999.25,-999.25,1,well 1
25,-999.25,-999.25,-999.25,-999.25,1,well 1
25.5,-999.25,-999.25,-999.25,-999.25,1,well 1
26,-999.25,-999.25,-999.25,-999.25,1,well 1
26.5,-999.25,-999.25,-999.25,-999.25,1,well 1
27,-999.25,-999.25,-999.25,-999.25,1,well 1
27.5,-999.25,-999.25,-999.25,-999.25,1,well 1
28,-999.25,-999.25,-999.25,-999.25,1,well 1
28.5,-999.25,-999.25,-999.25,-999.25,1,well 1
29,-999.25,-999.25,-999.25,-999.25,1,well 1
29.5,-999.25,-999.25,-999.25,-999.25,1,well 1
30,-999.25,-999.25,-999.25,-999.25,1,well 1
